_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84;HORAIRES;PLACES_PMR;PLACES_ELEC;PLACES_VELO;PLACES_MOTO
281;Gare de Nantes Nord - Direction régionale;10;DEPLACEMENT;1004;Transport en commun;100403;Rail;;NANTES;Boulevard de Stalingrad;08 36 35 35 35;www.sncf.fr;44000;-1,5423599661;47,2174431607;;;;;
280;Parking ouvrage Gare Nord;10;DEPLACEMENT;1001;Parking Ouvrage;100102;Elévation;;NANTES;Boulevard de Stalingrad;08 25 88 88 26;www.resaplace.com;44000;-1,5449843341;47,2166890402;Ouvert 24h/24, 7j/7.;10;;10;77
3652;Parking ouvrage Cathédrale;10;DEPLACEMENT;1001;Parking Ouvrage;100101;Souterrain;;NANTES;Rue Sully;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,5510561683;47,2208133511;Parking souterrain ouvert de 9h à 22h00, 7j/7.;9;;12;54
3778;Parc relais busway Bourdonnières 2;10;DEPLACEMENT;1002;Parc Relais;100203;Libre;;NANTES;Rue des Bourdonnières;;;44200;-1,5231513316;47,1867242428;Accès libre permanent.;2;;;
3715;30 Station Abonnement Commerce;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Allée Brancas;;www.bicloo.nantesmetropole.fr;44000;-1,5573807226;47,2131450294;;;;;
4021;Station 50 Otages;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Rue Le Nôtre;;;44000;-1,5573213773;47,2194459582;;;;;
1046;Parking ouvrage Talensac;10;DEPLACEMENT;1001;Parking Ouvrage;100102;Elévation;;NANTES;Rue Le Nôtre;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,5583572999;47,220255981;Ouvert de 6h30 à 22h30, 7j/7.;9;;2;21
3687;3 Station Accueil Strasbourg;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Place Tirant Lo Blanc;;www.bicloo.nantesmetropole.fr;44000;-1,551617565;47,2165328547;;;;;
4028;Station Cité des Congrès;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Rue de Valmy;;;44000;-1,5443904845;47,2133927462;;;;;
1624;Port de l'Erdre;10;DEPLACEMENT;1004;Transport en commun;100402;Fluvial;;NANTES;Quai de Versailles;02 40 37 04 62;www.nge-nantes.fr;44000;-1,553724598;47,2252035773;;;;;
3708;24 Station Accueil Versailles;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Quai de Versailles;;www.bicloo.nantesmetropole.fr;44000;-1,5537280321;47,2244233839;;;;;
3695;11 Station Accueil Calvaire;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Place des Volontaires de la Défense Passive;;www.bicloo.nantesmetropole.fr;44000;-1,5606063069;47,215599182;;;;;
4016;Aire de Covoiturage Pas Enchantés;10;DEPLACEMENT;1006;Aire de covoiturage;;;;ST-SEBASTIEN;Boulevard des Pas Enchantés;;www.covoiturage-nantesmetropole.fr;44230;-1,5039410585;47,2103889373;;;;;
